,Site_Name,Hrs_On,Oil_(BBL),Gas_(MCF),Water_(BBL),Tubing_(PSI),Casing_(PSI,Remarks,Date
9,SEA WASP 2H,24:00:00,18.38,70.0,8.34,100.0,90.0,,2019-06-27
10,STINGRAY 2H,24:00:00,33.42,33.0,17.0,280.0,100.0,,2019-06-27
11,THORNY DEVIL 1H,24:00:00,111.39,260.0,58.0,100.0,610.0,,2019-06-27
12,THORNY DEVIL 2H,24:00:00,69.83,215.0,48.0,140.0,600.0,,2019-06-27
13,THORNY DEVIL 3H,24:00:00,30.08,29.0,5.0,200.0,90.0,,2019-06-27
14,WOMBAT 2H,24:00:00,33.41,24.0,68.0,200.0,80.0,,2019-06-27
0,CROC 1H,24:00:00,26.63,4.0,13.0,140.0,70.0,,2019-06-26
1,GALAH 3H,24:00:00,50.21,28.0,30.0,200.0,100.0,surged on tubing,2019-06-26
2,GOANNA 1H,12:00,13.39,4.0,60.0,150.0,100.0,"doa - oil leak, awaiting mechanic",2019-06-26
3,GREAT WHITE 1H,0:00,0.0,0.0,0.0,0.0,0.0,Work over rig on site. Online at 5pm,2019-06-26
4,GREAT WHITE 2H,24:00:00,115.05,118.0,95.0,250.0,100.0,,2019-06-26
5,JAVELINA 1H,24:00:00,25.01,21.0,10.0,200.0,70.0,,2019-06-26
6,MANTA 1H,24:00:00,46.13,25.0,61.0,200.0,90.0,,2019-06-26
7,REEF 3H,24:00:00,44.92,4.0,20.0,200.0,80.0,,2019-06-26
8,RIDGEBACK 1H,24:00:00,20.04,13.0,10.0,120.0,80.0,,2019-06-26
9,SEA WASP 2H,24:00:00,21.73,70.0,13.33,100.0,90.0,,2019-06-26
10,STINGRAY 2H,24:00:00,31.31,33.0,18.0,280.0,100.0,,2019-06-26
11,THORNY DEVIL 1H,24:00:00,106.81,258.0,55.0,150.0,610.0,,2019-06-26
12,THORNY DEVIL 2H,24:00:00,69.75,205.0,50.0,130.0,600.0,,2019-06-26
13,THORNY DEVIL 3H,24:00:00,25.02,28.0,10.0,200.0,90.0,surged on tubing,2019-06-26
14,WOMBAT 2H,24:00:00,33.04,23.0,70.0,200.0,80.0,,2019-06-26
0,CROC 1H,24:00:00,28.3,4.0,10.0,140.0,70.0,,2019-06-25
1,GALAH 3H,24:00:00,53.81,35.0,48.0,200.0,100.0,,2019-06-25
2,GOANNA 1H,24:00:00,25.09,4.0,122.0,150.0,100.0,,2019-06-25
3,GREAT WHITE 1H,0:00,0.0,14.0,0.0,0.0,0.0,Work over rig on site,2019-06-25
4,GREAT WHITE 2H,24:00:00,92.56,93.0,90.0,250.0,100.0,,2019-06-25
5,JAVELINA 1H,24:00:00,28.34,20.0,13.0,200.0,70.0,,2019-06-25
6,MANTA 1H,24:00:00,47.41,23.0,55.0,200.0,90.0,,2019-06-25
7,REEF 3H,24:00:00,48.24,4.0,23.0,200.0,80.0,,2019-06-25
8,RIDGEBACK 1H,24:00:00,16.7,13.0,5.0,120.0,80.0,,2019-06-25
9,SEA WASP 2H,24:00:00,20.8,73.0,10.0,100.0,90.0,,2019-06-25
10,STINGRAY 2H,24:00:00,26.7,23.0,17.0,280.0,100.0,surged on tubing,2019-06-25
11,THORNY DEVIL 1H,24:00:00,117.28,270.0,60.0,120.0,610.0,,2019-06-25
12,THORNY DEVIL 2H,24:00:00,72.01,218.0,50.0,150.0,600.0,,2019-06-25
13,THORNY DEVIL 3H,24:00:00,28.4,34.0,13.0,200.0,90.0,,2019-06-25
14,WOMBAT 2H,24:00:00,33.4,23.0,63.0,200.0,80.0,,2019-06-25
0,CROC 1H,24:00:00,36.59,4.0,13.0,140.0,70.0,,2019-06-24
1,GALAH 3H,24:00:00,63.8,38.0,45.0,200.0,100.0,,2019-06-24
2,GOANNA 1H,24:00:00,28.44,4.0,120.0,150.0,100.0,,2019-06-24
3,GREAT WHITE 1H,24:00:00,130.0,147.0,47.0,150.0,640.0,"shut down Comp. / blew down tbg and csg, rig moving on well",2019-06-24
4,GREAT WHITE 2H,24:00:00,80.01,93.0,167.0,250.0,100.0,recovering water from workover,2019-06-24
5,JAVELINA 1H,24:00:00,25.01,20.0,13.0,200.0,70.0,,2019-06-24
6,MANTA 1H,24:00:00,53.0,24.0,69.0,200.0,90.0,,2019-06-24
7,REEF 3H,24:00:00,49.9,4.0,20.0,200.0,80.0,,2019-06-24
8,RIDGEBACK 1H,24:00:00,20.04,13.0,0.0,120.0,80.0,,2019-06-24
9,SEA WASP 2H,24:00:00,23.39,69.0,13.33,100.0,90.0,,2019-06-24
10,STINGRAY 2H,24:00:00,30.08,27.0,12.0,280.0,100.0,,2019-06-24
11,THORNY DEVIL 1H,24:00:00,116.38,277.0,58.0,140.0,610.0,,2019-06-24
12,THORNY DEVIL 2H,24:00:00,71.41,223.0,52.0,140.0,600.0,,2019-06-24
13,THORNY DEVIL 3H,24:00:00,28.41,36.0,12.0,200.0,90.0,,2019-06-24
14,WOMBAT 2H,24:00:00,30.06,25.0,65.0,200.0,80.0,,2019-06-24
0,CROC 1H,24:00:00,31.61,4.0,10.0,140.0,70.0,,2019-06-23
1,GALAH 3H,24:00:00,60.14,38.0,40.0,200.0,100.0,,2019-06-23
2,GOANNA 1H,24:00:00,28.44,4.0,110.0,150.0,100.0,,2019-06-23
3,GREAT WHITE 1H,24:00:00,133.34,136.0,55.0,150.0,640.0,,2019-06-23
4,GREAT WHITE 2H,24:00:00,48.34,66.0,126.0,250.0,100.0,recovering water from workover,2019-06-23
5,JAVELINA 1H,24:00:00,25.01,20.0,8.0,200.0,70.0,,2019-06-23
6,MANTA 1H,24:00:00,50.2,24.0,69.0,200.0,90.0,,2019-06-23
7,REEF 3H,24:00:00,46.59,4.0,23.0,200.0,80.0,,2019-06-23
8,RIDGEBACK 1H,24:00:00,20.48,13.0,10.0,120.0,80.0,,2019-06-23
9,SEA WASP 2H,24:00:00,20.05,74.0,13.34,100.0,90.0,,2019-06-23
10,STINGRAY 2H,24:00:00,30.08,33.0,15.0,280.0,100.0,,2019-06-23
11,THORNY DEVIL 1H,24:00:00,114.07,279.0,58.0,140.0,610.0,,2019-06-23
12,THORNY DEVIL 2H,24:00:00,74.73,226.0,48.0,140.0,600.0,,2019-06-23
13,THORNY DEVIL 3H,24:00:00,28.4,38.0,12.0,200.0,90.0,,2019-06-23
14,WOMBAT 2H,24:00:00,31.73,24.0,68.0,200.0,80.0,,2019-06-23
0,CROC 1H,24:00:00,26.62,4.0,32.0,140.0,70.0,,2019-06-22
1,GALAH 3H,24:00:00,66.8,34.0,40.0,200.0,100.0,,2019-06-22
2,GOANNA 1H,24:00:00,25.09,4.0,105.0,150.0,100.0,,2019-06-22
3,GREAT WHITE 1H,24:00:00,135.48,140.0,5.0,150.0,650.0,recovering water pulled to load tbg on 2H,2019-06-22
4,GREAT WHITE 2H,13:00,0.0,25.0,86.0,180.0,100.0,recovering water from workover,2019-06-22
5,JAVELINA 1H,24:00:00,23.9,20.0,13.0,200.0,70.0,,2019-06-22
6,MANTA 1H,24:00:00,48.82,23.0,61.0,200.0,90.0,,2019-06-22
7,REEF 3H,24:00:00,53.42,4.0,35.0,200.0,80.0,,2019-06-22
8,RIDGEBACK 1H,24:00:00,25.07,13.0,5.0,120.0,80.0,,2019-06-22
9,SEA WASP 2H,24:00:00,21.72,79.0,18.33,100.0,90.0,,2019-06-22
10,STINGRAY 2H,24:00:00,31.76,34.0,13.0,280.0,100.0,,2019-06-22
11,THORNY DEVIL 1H,24:00:00,111.39,278.0,55.0,120.0,610.0,,2019-06-22
12,THORNY DEVIL 2H,24:00:00,73.57,235.0,45.0,175.0,600.0,,2019-06-22
13,THORNY DEVIL 3H,24:00:00,28.5,35.0,10.0,200.0,90.0,,2019-06-22
14,WOMBAT 2H,24:00:00,28.39,22.0,65.0,200.0,80.0,,2019-06-22
0,CROC 1H,24:00:00,26.61,22.0,0.0,140.0,70.0,Recovering from Hot oil.,2019-06-21
1,GALAH 3H,24:00:00,64.05,38.0,38.0,200.0,100.0,,2019-06-21
2,GOANNA 1H,24:00:00,23.42,4.0,115.0,150.0,100.0,,2019-06-21
3,GREAT WHITE 1H,21:00,141.67,104.0,40.0,150.0,650.0,,2019-06-21
4,GREAT WHITE 2H,0:00,0.03,45.0,0.0,0.0,0.0,well down / rodding up/ blew down tbg/ gas rate zero,2019-06-21
5,JAVELINA 1H,24:00:00,30.0,21.0,8.0,200.0,70.0,,2019-06-21
6,MANTA 1H,24:00:00,50.23,27.0,68.0,200.0,90.0,,2019-06-21
7,REEF 3H,24:00:00,51.57,49.0,23.0,200.0,80.0,,2019-06-21
8,RIDGEBACK 1H,24:00:00,21.72,13.0,5.0,120.0,80.0,,2019-06-21
9,SEA WASP 2H,24:00:00,21.72,75.0,13.33,100.0,90.0,,2019-06-21
10,STINGRAY 2H,24:00:00,33.43,27.0,10.0,280.0,100.0,,2019-06-21
11,THORNY DEVIL 1H,24:00:00,109.64,253.0,57.0,120.0,610.0,paraffin cut,2019-06-21
12,THORNY DEVIL 2H,24:00:00,76.38,221.0,50.0,175.0,600.0,paraffin cut,2019-06-21
13,THORNY DEVIL 3H,24:00:00,25.37,38.0,10.0,200.0,90.0,,2019-06-21
14,WOMBAT 2H,24:00:00,31.31,23.0,68.0,200.0,80.0,,2019-06-21
0,CROC 1H,24:00:00,24.74,16.0,8.0,240.0,70.0,,2019-06-20
1,GALAH 3H,24:00:00,51.87,37.0,42.0,200.0,100.0,,2019-06-20
2,GOANNA 1H,2:00,23.42,4.0,114.0,150.0,100.0,,2019-06-20
3,GREAT WHITE 1H,12:00,51.67,89.0,22.0,110.0,520.0,"Comp. DOA, no Alarm well stayed online",2019-06-20
4,GREAT WHITE 2H,5:00,16.67,57.0,13.0,0.0,0.0,well down / rodding up,2019-06-20
5,JAVELINA 1H,24:00:00,26.67,21.0,13.0,200.0,70.0,,2019-06-20
6,MANTA 1H,24:00:00,49.19,26.0,61.0,200.0,90.0,,2019-06-20
7,REEF 3H,24:00:00,49.92,49.0,20.0,200.0,80.0,,2019-06-20
8,RIDGEBACK 1H,24:00:00,20.05,13.0,10.0,120.0,80.0,,2019-06-20
9,SEA WASP 2H,24:00:00,25.07,81.0,10.0,100.0,90.0,,2019-06-20
10,STINGRAY 2H,24:00:00,31.76,28.0,10.0,280.0,100.0,,2019-06-20
11,THORNY DEVIL 1H,24:00:00,116.38,242.0,50.0,120.0,610.0,,2019-06-20
12,THORNY DEVIL 2H,24:00:00,76.39,205.0,48.0,175.0,600.0,,2019-06-20
13,THORNY DEVIL 3H,24:00:00,25.07,38.0,8.0,200.0,90.0,,2019-06-20
14,WOMBAT 2H,24:00:00,31.74,22.0,65.0,200.0,80.0,,2019-06-20
0,CROC 1H,24:00:00,28.28,33.0,32.0,240.0,70.0,,2019-06-19
1,GALAH 3H,24:00:00,61.82,33.0,42.0,200.0,100.0,,2019-06-19
2,GOANNA 1H,24:00:00,24.96,4.0,112.0,150.0,100.0,,2019-06-19
3,GREAT WHITE 1H,24:00:00,115.0,131.0,62.0,150.0,640.0,,2019-06-19
4,GREAT WHITE 2H,24:00:00,80.0,81.0,42.0,150.0,590.0,shut off injection and blew down tbg and csg,2019-06-19
5,JAVELINA 1H,24:00:00,25.01,25.0,12.0,200.0,70.0,,2019-06-19
6,MANTA 1H,24:00:00,50.23,20.0,70.0,200.0,90.0,,2019-06-19
7,REEF 3H,24:00:00,47.09,50.0,20.0,200.0,80.0,,2019-06-19
8,RIDGEBACK 1H,24:00:00,21.72,15.0,7.0,120.0,80.0,,2019-06-19
9,SEA WASP 2H,24:00:00,15.04,72.0,16.67,100.0,90.0,,2019-06-19
10,STINGRAY 2H,24:00:00,29.91,36.0,25.0,280.0,100.0,,2019-06-19
11,THORNY DEVIL 1H,24:00:00,104.56,218.0,45.0,120.0,610.0,,2019-06-19
12,THORNY DEVIL 2H,24:00:00,74.72,185.0,50.0,180.0,600.0,,2019-06-19
13,THORNY DEVIL 3H,24:00:00,21.72,40.0,38.0,200.0,95.0,recovering from hot oil,2019-06-19
14,WOMBAT 2H,24:00:00,31.73,24.0,83.0,200.0,90.0,,2019-06-19
0,CROC 1H,24:00:00,21.63,7.0,2.0,240.0,70.0,HIGH LINE PRESSURE,2019-06-18
1,GALAH 3H,24:00:00,58.49,29.0,45.0,200.0,110.0,HLP,2019-06-18
2,GOANNA 1H,24:00:00,16.75,4.0,120.0,150.0,100.0,HLP,2019-06-18
3,GREAT WHITE 1H,24:00:00,111.13,114.0,35.0,150.0,640.0,HLP,2019-06-18
4,GREAT WHITE 2H,24:00:00,79.55,72.0,22.0,150.0,590.0,HLP,2019-06-18
5,JAVELINA 1H,24:00:00,23.34,15.0,13.0,200.0,70.0,,2019-06-18
6,MANTA 1H,24:00:00,41.86,16.0,70.0,200.0,120.0,HLP,2019-06-18
7,REEF 3H,24:00:00,48.24,46.0,25.0,200.0,80.0,,2019-06-18
8,RIDGEBACK 1H,24:00:00,20.04,10.0,5.0,120.0,80.0,,2019-06-18
9,SEA WASP 2H,24:00:00,28.41,50.0,5.0,150.0,150.0,High line pressure,2019-06-18
10,STINGRAY 2H,24:00:00,23.39,17.0,17.0,280.0,120.0,HLP,2019-06-18
11,THORNY DEVIL 1H,24:00:00,83.13,32.0,37.0,140.0,600.0,,2019-06-18
12,THORNY DEVIL 2H,24:00:00,56.46,22.0,42.0,190.0,600.0,,2019-06-18
13,THORNY DEVIL 3H,24:00:00,31.75,8.0,30.0,200.0,120.0,HLP,2019-06-18
14,WOMBAT 2H,24:00:00,30.07,23.0,80.0,200.0,120.0,HLP,2019-06-18
0,CROC 1H,24:00:00,16.64,14.0,7.0,240.0,70.0,Production low due to weather.,2019-06-17
1,GALAH 3H,24:00:00,53.47,19.0,42.0,200.0,100.0,HLP,2019-06-17
2,GOANNA 1H,24:00:00,16.79,7.0,112.0,150.0,100.0,HLP,2019-06-17
3,GREAT WHITE 1H,24:00:00,115.01,148.0,48.0,150.0,640.0,HLP,2019-06-17
4,GREAT WHITE 2H,24:00:00,90.0,91.0,37.0,150.0,590.0,HLP,2019-06-17
5,JAVELINA 1H,24:00:00,21.67,17.0,15.0,200.0,70.0,,2019-06-17
6,MANTA 1H,24:00:00,39.12,17.0,72.0,200.0,80.0,,2019-06-17
7,REEF 3H,24:00:00,48.25,46.0,20.0,200.0,80.0,,2019-06-17
8,RIDGEBACK 1H,24:00:00,16.7,11.0,8.0,120.0,80.0,,2019-06-17
9,SEA WASP 2H,24:00:00,22.28,87.0,13.33,200.0,200.0,High line psi,2019-06-17
10,STINGRAY 2H,24:00:00,23.38,22.0,13.0,280.0,90.0,high line pressure,2019-06-17
11,THORNY DEVIL 1H,24:00:00,107.31,231.0,53.0,120.0,610.0,HLP / compressor down high sep pressure,2019-06-17
12,THORNY DEVIL 2H,24:00:00,68.08,196.0,48.0,120.0,630.0,HLP / compressor down high sep pressure,2019-06-17
13,THORNY DEVIL 3H,24:00:00,25.07,17.0,10.0,200.0,70.0,HLP,2019-06-17
14,WOMBAT 2H,24:00:00,31.74,17.0,75.0,200.0,80.0,,2019-06-17
0,CROC 1H,24:00:00,29.94,29.0,17.0,240.0,70.0,,2019-06-16
1,GALAH 3H,24:00:00,52.59,32.0,48.0,200.0,100.0,,2019-06-16
2,GOANNA 1H,24:00:00,33.43,9.0,130.0,150.0,100.0,,2019-06-16
3,GREAT WHITE 1H,24:00:00,112.22,152.0,45.0,130.0,640.0,,2019-06-16
4,GREAT WHITE 2H,24:00:00,90.0,89.0,40.0,130.0,590.0,,2019-06-16
5,JAVELINA 1H,24:00:00,28.11,22.0,15.0,200.0,70.0,,2019-06-16
6,MANTA 1H,24:00:00,40.19,18.0,75.0,200.0,80.0,,2019-06-16
7,REEF 3H,24:00:00,47.95,48.0,23.0,200.0,80.0,,2019-06-16
8,RIDGEBACK 1H,24:00:00,20.75,13.0,7.0,120.0,80.0,,2019-06-16
9,SEA WASP 2H,24:00:00,25.06,74.0,11.67,100.0,90.0,,2019-06-16
10,STINGRAY 2H,24:00:00,30.07,27.0,17.0,280.0,90.0,,2019-06-16
11,THORNY DEVIL 1H,24:00:00,115.43,277.0,62.0,120.0,610.0,,2019-06-16
12,THORNY DEVIL 2H,24:00:00,64.8,238.0,45.0,120.0,630.0,,2019-06-16
13,THORNY DEVIL 3H,24:00:00,27.16,32.0,7.0,200.0,70.0,,2019-06-16
14,WOMBAT 2H,24:00:00,30.07,20.0,78.0,200.0,80.0,,2019-06-16
0,CROC 1H,24:00:00,26.61,19.0,18.0,240.0,70.0,,2019-06-15
1,GALAH 3H,24:00:00,62.08,35.0,47.0,200.0,100.0,,2019-06-15
2,GOANNA 1H,24:00:00,30.09,7.0,128.0,150.0,100.0,,2019-06-15
3,GREAT WHITE 1H,24:00:00,110.0,153.0,45.0,130.0,640.0,,2019-06-15
4,GREAT WHITE 2H,24:00:00,90.18,87.0,42.0,130.0,590.0,,2019-06-15
5,JAVELINA 1H,24:00:00,28.36,32.0,0.0,200.0,70.0,recovering hot oil,2019-06-15
6,MANTA 1H,24:00:00,39.07,16.0,72.0,200.0,80.0,,2019-06-15
7,REEF 3H,24:00:00,53.23,48.0,22.0,200.0,80.0,,2019-06-15
8,RIDGEBACK 1H,24:00:00,20.06,13.0,8.0,120.0,80.0,,2019-06-15
9,SEA WASP 2H,24:00:00,23.39,76.0,13.33,100.0,90.0,,2019-06-15
10,STINGRAY 2H,24:00:00,26.73,27.0,17.0,280.0,90.0,,2019-06-15
11,THORNY DEVIL 1H,24:00:00,121.36,276.0,65.0,120.0,610.0,,2019-06-15
12,THORNY DEVIL 2H,24:00:00,71.92,238.0,53.0,120.0,630.0,,2019-06-15
13,THORNY DEVIL 3H,24:00:00,30.09,28.0,10.0,200.0,70.0,,2019-06-15
14,WOMBAT 2H,24:00:00,28.4,21.0,75.0,200.0,80.0,,2019-06-15
0,CROC 1H,24:00:00,33.27,24.0,20.0,240.0,70.0,,2019-06-14
1,GALAH 3H,24:00:00,66.8,40.0,43.0,200.0,100.0,,2019-06-14
2,GOANNA 1H,24:00:00,30.09,4.0,125.0,150.0,100.0,,2019-06-14
3,GREAT WHITE 1H,24:00:00,110.01,155.0,48.0,130.0,640.0,,2019-06-14
4,GREAT WHITE 2H,24:00:00,90.01,87.0,47.0,130.0,580.0,,2019-06-14
5,JAVELINA 1H,24:00:00,20.01,5.0,0.0,200.0,70.0,recovering from 20/50 Hot Oil,2019-06-14
6,MANTA 1H,24:00:00,44.65,19.0,66.0,200.0,80.0,,2019-06-14
7,REEF 3H,24:00:00,53.88,47.0,30.0,200.0,80.0,,2019-06-14
8,RIDGEBACK 1H,24:00:00,20.11,13.0,9.0,120.0,80.0,,2019-06-14
9,SEA WASP 2H,24:00:00,25.07,83.0,11.67,100.0,90.0,,2019-06-14
10,STINGRAY 2H,24:00:00,28.4,27.0,15.0,280.0,90.0,,2019-06-14
11,THORNY DEVIL 1H,24:00:00,113.93,262.0,60.0,120.0,610.0,,2019-06-14
12,THORNY DEVIL 2H,24:00:00,72.51,225.0,50.0,120.0,630.0,,2019-06-14
13,THORNY DEVIL 3H,24:00:00,23.69,31.0,18.0,200.0,70.0,,2019-06-14
14,WOMBAT 2H,24:00:00,29.76,23.0,75.0,200.0,80.0,,2019-06-14
0,CROC 1H,24:00:00,23.81,24.0,9.0,240.0,70.0,,2019-06-13
1,GALAH 3H,24:00:00,63.46,36.0,52.0,200.0,100.0,surged tubing,2019-06-13
2,GOANNA 1H,24:00:00,26.75,4.0,130.0,150.0,100.0,,2019-06-13
3,GREAT WHITE 1H,24:00:00,110.51,160.0,42.0,140.0,640.0,,2019-06-13
4,GREAT WHITE 2H,24:00:00,90.1,89.0,42.0,140.0,590.0,,2019-06-13
5,JAVELINA 1H,24:00:00,26.68,19.0,10.0,200.0,70.0,,2019-06-13
6,MANTA 1H,24:00:00,44.64,14.0,65.0,200.0,80.0,,2019-06-13
7,REEF 3H,24:00:00,44.93,47.0,22.0,200.0,80.0,,2019-06-13
8,RIDGEBACK 1H,24:00:00,20.04,13.0,7.0,120.0,80.0,,2019-06-13
9,SEA WASP 2H,24:00:00,31.76,82.0,18.33,100.0,90.0,,2019-06-13
10,STINGRAY 2H,24:00:00,30.08,26.0,18.0,280.0,90.0,,2019-06-13
11,THORNY DEVIL 1H,24:00:00,109.73,252.0,60.0,120.0,610.0,,2019-06-13
12,THORNY DEVIL 2H,24:00:00,79.71,217.0,52.0,120.0,630.0,,2019-06-13
13,THORNY DEVIL 3H,24:00:00,28.42,31.0,13.0,200.0,70.0,surged tubing,2019-06-13
14,WOMBAT 2H,24:00:00,32.2,24.0,72.0,200.0,80.0,,2019-06-13
0,CROC 1H,24:00:00,29.94,24.0,18.0,240.0,70.0,,2019-06-12
1,GALAH 3H,24:00:00,70.1,47.0,50.0,200.0,100.0,,2019-06-12
2,GOANNA 1H,24:00:00,25.07,4.0,132.0,150.0,100.0,,2019-06-12
3,GREAT WHITE 1H,24:00:00,116.67,164.0,47.0,140.0,630.0,,2019-06-12
4,GREAT WHITE 2H,24:00:00,95.0,90.0,43.0,130.0,590.0,,2019-06-12
5,JAVELINA 1H,24:00:00,28.35,19.0,12.0,200.0,70.0,,2019-06-12
6,MANTA 1H,24:00:00,42.46,25.0,72.0,200.0,80.0,,2019-06-12
7,REEF 3H,24:00:00,51.59,47.0,27.0,200.0,80.0,,2019-06-12
8,RIDGEBACK 1H,24:00:00,20.04,13.0,7.0,120.0,80.0,,2019-06-12
9,SEA WASP 2H,24:00:00,26.74,82.0,13.34,100.0,90.0,,2019-06-12
10,STINGRAY 2H,24:00:00,31.75,26.0,18.0,280.0,90.0,,2019-06-12
11,THORNY DEVIL 1H,24:00:00,121.04,260.0,65.0,160.0,610.0,,2019-06-12
12,THORNY DEVIL 2H,24:00:00,81.03,226.0,48.0,120.0,630.0,,2019-06-12
13,THORNY DEVIL 3H,24:00:00,26.75,37.0,10.0,200.0,70.0,,2019-06-12
14,WOMBAT 2H,24:00:00,30.07,18.0,73.0,200.0,80.0,,2019-06-12
0,CROC 1H,24:00:00,23.28,24.0,5.0,240.0,70.0,,2019-06-11
1,GALAH 3H,24:00:00,75.2,49.0,48.0,200.0,100.0,,2019-06-11
2,GOANNA 1H,24:00:00,20.06,5.0,127.0,150.0,100.0,,2019-06-11
3,GREAT WHITE 1H,24:00:00,110.61,166.0,40.0,140.0,620.0,,2019-06-11
4,GREAT WHITE 2H,24:00:00,97.71,92.0,47.0,130.0,580.0,,2019-06-11
5,JAVELINA 1H,24:00:00,25.02,4.0,8.0,200.0,70.0,,2019-06-11
6,MANTA 1H,24:00:00,47.41,26.0,72.0,200.0,80.0,,2019-06-11
7,REEF 3H,24:00:00,53.24,46.0,23.0,200.0,80.0,,2019-06-11
8,RIDGEBACK 1H,24:00:00,20.05,4.0,10.0,120.0,80.0,,2019-06-11
9,SEA WASP 2H,24:00:00,30.08,93.0,15.0,100.0,90.0,,2019-06-11
10,STINGRAY 2H,24:00:00,28.4,26.0,15.0,280.0,100.0,,2019-06-11
11,THORNY DEVIL 1H,24:00:00,128.01,264.0,75.0,175.0,610.0,,2019-06-11
12,THORNY DEVIL 2H,24:00:00,81.38,234.0,47.0,120.0,630.0,,2019-06-11
13,THORNY DEVIL 3H,24:00:00,31.76,34.0,10.0,200.0,70.0,,2019-06-11
14,WOMBAT 2H,24:00:00,33.41,21.0,72.0,200.0,80.0,,2019-06-11
0,CROC 1H,24:00:00,26.61,24.0,15.0,240.0,70.0,,2019-06-10
1,GALAH 3H,24:00:00,88.56,42.0,55.0,200.0,100.0,,2019-06-10
2,GOANNA 1H,24:00:00,15.05,9.0,135.0,150.0,100.0,,2019-06-10
3,GREAT WHITE 1H,24:00:00,109.17,166.0,43.0,140.0,600.0,,2019-06-10
4,GREAT WHITE 2H,24:00:00,98.34,91.0,50.0,130.0,580.0,,2019-06-10
5,JAVELINA 1H,24:00:00,28.35,21.0,12.0,200.0,70.0,,2019-06-10
6,MANTA 1H,24:00:00,41.15,28.0,70.0,200.0,80.0,,2019-06-10
7,REEF 3H,24:00:00,53.22,47.0,22.0,200.0,80.0,,2019-06-10
8,RIDGEBACK 1H,24:00:00,23.39,13.0,3.0,120.0,80.0,,2019-06-10
9,SEA WASP 2H,24:00:00,21.98,92.0,10.0,100.0,90.0,,2019-06-10
10,STINGRAY 2H,24:00:00,27.02,26.0,17.0,280.0,100.0,,2019-06-10
11,THORNY DEVIL 1H,24:00:00,133.0,264.0,73.0,160.0,610.0,inj rate high. lowered back to 210,2019-06-10
12,THORNY DEVIL 2H,24:00:00,74.73,233.0,43.0,120.0,630.0,inj rate low - rasied back to 310,2019-06-10
13,THORNY DEVIL 3H,24:00:00,30.09,36.0,5.0,200.0,70.0,,2019-06-10
14,WOMBAT 2H,24:00:00,33.41,22.0,75.0,200.0,80.0,,2019-06-10
0,CROC 1H,24:00:00,33.26,24.0,13.0,240.0,70.0,,2019-06-09
1,GALAH 3H,24:00:00,43.44,13.0,72.0,200.0,100.0,recovering from hot oil,2019-06-09
2,GOANNA 1H,24:00:00,23.49,7.0,158.0,150.0,100.0,,2019-06-09
3,GREAT WHITE 1H,24:00:00,110.0,169.0,43.0,140.0,600.0,,2019-06-09
4,GREAT WHITE 2H,24:00:00,93.34,88.0,47.0,130.0,580.0,,2019-06-09
5,JAVELINA 1H,24:00:00,26.7,20.0,8.0,200.0,70.0,,2019-06-09
6,MANTA 1H,24:00:00,44.65,27.0,65.0,200.0,80.0,,2019-06-09
7,REEF 3H,24:00:00,53.23,46.0,24.0,200.0,80.0,,2019-06-09
8,RIDGEBACK 1H,24:00:00,20.04,13.0,7.0,120.0,80.0,,2019-06-09
9,SEA WASP 2H,24:00:00,33.41,68.0,15.0,100.0,90.0,,2019-06-09
10,STINGRAY 2H,24:00:00,28.4,26.0,17.0,280.0,100.0,,2019-06-09
11,THORNY DEVIL 1H,24:00:00,130.17,279.0,77.0,170.0,610.0,,2019-06-09
12,THORNY DEVIL 2H,24:00:00,93.12,256.0,47.0,120.0,640.0,,2019-06-09
13,THORNY DEVIL 3H,24:00:00,12.05,26.0,15.0,200.0,70.0,pumped and surged tbg,2019-06-09
14,WOMBAT 2H,24:00:00,33.41,21.0,78.0,200.0,80.0,,2019-06-09
0,CROC 1H,24:00:00,31.61,24.0,15.0,240.0,70.0,,2019-06-08
1,GALAH 3H,9:00,20.06,19.0,23.0,200.0,100.0,DOA. Low Sep. Press. BOL.,2019-06-08
2,GOANNA 1H,24:00:00,0.46,4.0,145.0,150.0,100.0,,2019-06-08
3,GREAT WHITE 1H,24:00:00,111.21,167.0,42.0,140.0,600.0,,2019-06-08
4,GREAT WHITE 2H,24:00:00,93.36,83.0,43.0,130.0,580.0,,2019-06-08
5,JAVELINA 1H,24:00:00,28.97,23.0,11.0,200.0,70.0,,2019-06-08
6,MANTA 1H,24:00:00,47.44,26.0,68.0,200.0,80.0,,2019-06-08
7,REEF 3H,24:00:00,46.94,47.0,24.0,200.0,80.0,,2019-06-08
8,RIDGEBACK 1H,24:00:00,20.04,13.0,8.0,120.0,80.0,,2019-06-08
9,SEA WASP 2H,18:00,21.72,79.0,8.33,100.0,90.0,Pump DOA eletrical switch triped reset unit BOL,2019-06-08
10,STINGRAY 2H,24:00:00,30.99,26.0,13.0,280.0,100.0,,2019-06-08
11,THORNY DEVIL 1H,24:00:00,70.62,209.0,57.0,130.0,610.0,inj rate low agian(clogged). set back at 230,2019-06-08
12,THORNY DEVIL 2H,24:00:00,59.09,203.0,70.0,160.0,650.0,inj rate high - set back to 310,2019-06-08
13,THORNY DEVIL 3H,24:00:00,28.42,27.0,10.0,200.0,70.0,,2019-06-08
14,WOMBAT 2H,24:00:00,34.68,22.0,75.0,200.0,80.0,,2019-06-08
