,Site_Name,Hrs_On,Oil_(BBL),Gas_(MCF),Water_(BBL),Tubing_(PSI),Casing_(PSI,Remarks,Date
14,WOMBAT 2H,0:00,0.0,1.34,0.0,140.0,90.0,Parted rods,2021-03-04
0,CROC 1H,24:00,26.61,12.27,7.92,200.0,70.0,"12on/12off, 6.5spm.",2021-03-03
1,GALAH 3H,24:00,33.42,21.52,8.75,150.0,80.0,,2021-03-03
2,GOANNA 1H,0:00,-0.01,0.0,0.0,50.0,50.0,down hole failure,2021-03-03
3,GREAT WHITE 1H,24:00,58.34,75.59,30.0,125.0,90.0,,2021-03-03
4,GREAT WHITE 2H,24:00,49.05,62.25,30.0,125.0,90.0,,2021-03-03
5,JAVELINA 1H,24:00,21.67,15.21,10.0,130.0,80.0,"12hrs on/12hrs off, 7.3spm",2021-03-03
6,MANTA 1H,24:00,34.17,34.32,15.35,200.0,80.0,,2021-03-03
7,REEF 3H,24:00,38.35,33.88,13.33,200.0,70.0,6.5spm,2021-03-03
8,RIDGEBACK 1H,24:00,18.38,11.61,1.67,120.0,80.0,7.1spm,2021-03-03
9,SEA WASP 2H,24:00,18.37,101.86,11.67,120.0,80.0,,2021-03-03
10,STINGRAY 2H,24:00,23.4,7.31,8.33,200.0,100.0,"12hrs on/12hrs off, 6.6spm",2021-03-03
11,THORNY DEVIL 1H,24:00,48.2,106.0,30.0,180.0,100.0,,2021-03-03
12,THORNY DEVIL 2H,24:00,40.68,111.55,20.0,180.0,100.0,,2021-03-03
13,THORNY DEVIL 3H,24:00,28.41,80.69,5.42,150.0,80.0,,2021-03-03
14,WOMBAT 2H,2:00,1.67,6.04,1.67,140.0,90.0,Parted rods,2021-03-03
0,CROC 1H,24:00,8.32,6.14,1.24,200.0,70.0,"12on/12off, 6.5spm.",2021-03-02
1,GALAH 3H,24:00,30.5,54.68,0.83,80.0,80.0,No pump action put in hand 7.2 spm,2021-03-02
2,GOANNA 1H,0:00,0.0,0.0,0.0,50.0,50.0,down hole failure,2021-03-02
3,GREAT WHITE 1H,24:00,61.93,75.05,14.33,125.0,90.0,,2021-03-02
4,GREAT WHITE 2H,24:00,38.33,43.47,14.0,125.0,90.0,,2021-03-02
5,JAVELINA 1H,24:00,20.01,14.27,6.67,130.0,80.0,"12hrs on/12hrs off, 7.3spm, chem treated",2021-03-02
6,MANTA 1H,24:00,27.89,30.96,18.13,200.0,80.0,,2021-03-02
7,REEF 3H,24:00,24.55,33.75,14.58,200.0,70.0,6.5spm,2021-03-02
8,RIDGEBACK 1H,24:00,16.71,11.15,5.0,120.0,80.0,"7.1spm, chem treated",2021-03-02
9,SEA WASP 2H,24:00,25.06,10.36,5.0,150.0,350.0,hotoiled 50/20,2021-03-02
10,STINGRAY 2H,24:00,18.38,15.1,11.67,200.0,100.0,"12hrs on/12hrs off, 6.6spm",2021-03-02
11,THORNY DEVIL 1H,24:00,46.61,106.98,25.0,180.0,100.0,,2021-03-02
12,THORNY DEVIL 2H,24:00,39.03,112.44,21.67,180.0,100.0,,2021-03-02
13,THORNY DEVIL 3H,24:00,16.29,69.68,7.08,150.0,80.0,,2021-03-02
14,WOMBAT 2H,24:00,11.69,20.85,13.33,140.0,90.0,,2021-03-02
0,CROC 1H,24:00,9.98,8.59,6.67,200.0,70.0,"12on/12off, 6.5spm",2021-03-01
1,GALAH 3H,24:00,55.56,21.75,12.09,150.0,350.0,Bypassed separator dumps not working on separator,2021-03-01
2,GOANNA 1H,0:00,0.0,0.0,0.0,50.0,50.0,down hole failure,2021-03-01
3,GREAT WHITE 1H,24:00,70.01,75.0,37.33,125.0,90.0,,2021-03-01
4,GREAT WHITE 2H,24:00,55.84,59.0,25.0,125.0,90.0,,2021-03-01
5,JAVELINA 1H,24:00,21.68,16.0,6.66,130.0,80.0,"12hrs on/12hrs off, 7.3spm",2021-03-01
6,MANTA 1H,24:00,33.47,33.5,13.95,200.0,80.0,,2021-03-01
7,REEF 3H,24:00,34.94,38.9,13.33,200.0,70.0,6.5spm,2021-03-01
8,RIDGEBACK 1H,24:00,16.71,13.0,10.0,120.0,80.0,7.1spm,2021-03-01
9,SEA WASP 2H,24:00,3.76,14.93,0.42,100.0,80.0,,2021-03-01
10,STINGRAY 2H,24:00,21.73,7.0,0.0,200.0,100.0,"12hrs on/12hrs off, 6.6spm",2021-03-01
11,THORNY DEVIL 1H,24:00,50.7,108.04,25.0,180.0,100.0,,2021-03-01
12,THORNY DEVIL 2H,24:00,43.18,110.51,24.17,180.0,100.0,,2021-03-01
13,THORNY DEVIL 3H,24:00,27.99,87.9,0.83,150.0,80.0,,2021-03-01
14,WOMBAT 2H,24:00,21.71,31.0,10.0,140.0,90.0,,2021-03-01
0,CROC 1H,24:00,8.32,16.72,5.0,200.0,70.0,"12on/12off, 6.5spm",2021-02-28
1,GALAH 3H,24:00,53.05,47.36,6.66,150.0,80.0,,2021-02-28
2,GOANNA 1H,0:00,0.0,0.0,0.0,50.0,50.0,down hole failure,2021-02-28
3,GREAT WHITE 1H,24:00,66.66,77.23,20.0,125.0,90.0,,2021-02-28
4,GREAT WHITE 2H,24:00,31.67,54.59,20.0,125.0,90.0,,2021-02-28
5,JAVELINA 1H,24:00,25.02,15.35,10.01,130.0,80.0,"12hrs on/12hrs off, 7.3spm",2021-02-28
6,MANTA 1H,24:00,11.22,34.96,22.32,200.0,80.0,,2021-02-28
7,REEF 3H,24:00,31.61,28.87,11.67,200.0,70.0,6.5spm,2021-02-28
8,RIDGEBACK 1H,24:00,16.71,12.01,3.33,120.0,80.0,7.1spm,2021-02-28
9,SEA WASP 2H,24:00,4.17,20.37,5.0,100.0,80.0,Pumped up surged,2021-02-28
10,STINGRAY 2H,24:00,25.07,12.39,8.33,200.0,100.0,"12hrs on/12hrs off, 6.6spm",2021-02-28
11,THORNY DEVIL 1H,24:00,57.36,110.61,26.67,180.0,100.0,,2021-02-28
12,THORNY DEVIL 2H,24:00,43.43,110.68,21.66,180.0,100.0,,2021-02-28
13,THORNY DEVIL 3H,24:00,16.29,81.51,7.5,180.0,80.0,,2021-02-28
14,WOMBAT 2H,24:00,16.73,34.02,18.34,140.0,90.0,,2021-02-28
0,CROC 1H,24:00,29.93,16.09,18.33,200.0,70.0,"12on/12off, 6.5spm",2021-02-27
1,GALAH 3H,24:00,46.37,49.0,9.59,150.0,80.0,,2021-02-27
2,GOANNA 1H,0:00,0.0,0.0,0.0,50.0,50.0,down hole failure,2021-02-27
3,GREAT WHITE 1H,24:00,65.0,82.0,27.34,125.0,90.0,,2021-02-27
4,GREAT WHITE 2H,24:00,50.0,82.0,25.0,125.0,90.0,,2021-02-27
5,JAVELINA 1H,24:00,21.69,16.0,8.33,130.0,80.0,"12hrs on/12hrs off, 7.3spm",2021-02-27
6,MANTA 1H,24:00,27.89,35.04,13.95,200.0,80.0,,2021-02-27
7,REEF 3H,24:00,38.28,35.7,15.0,200.0,70.0,6.5spm,2021-02-27
8,RIDGEBACK 1H,24:00,18.38,12.0,1.67,120.0,80.0,7.1spm,2021-02-27
9,SEA WASP 2H,24:00,10.03,33.69,0.0,120.0,80.0,,2021-02-27
10,STINGRAY 2H,24:00,18.39,10.0,8.33,200.0,100.0,"12hrs on/12hrs off, 6.6spm",2021-02-27
11,THORNY DEVIL 1H,24:00,51.53,108.09,25.0,180.0,100.0,,2021-02-27
12,THORNY DEVIL 2H,24:00,45.67,114.12,23.34,180.0,100.0,,2021-02-27
13,THORNY DEVIL 3H,24:00,35.93,97.5,0.84,180.0,80.0,,2021-02-27
14,WOMBAT 2H,24:00,21.71,32.0,15.0,140.0,90.0,,2021-02-27
0,CROC 1H,24:00,8.32,7.25,0.0,200.0,70.0,"12on/12off, 6.5spm",2021-02-26
1,GALAH 3H,24:00,53.92,49.66,6.25,150.0,80.0,,2021-02-26
2,GOANNA 1H,0:00,0.0,0.0,0.0,50.0,50.0,down hole failure,2021-02-26
3,GREAT WHITE 1H,24:00,75.0,76.0,38.33,125.0,90.0,,2021-02-26
4,GREAT WHITE 2H,24:00,48.33,66.0,25.0,125.0,90.0,,2021-02-26
5,JAVELINA 1H,24:00,21.68,14.0,10.0,130.0,80.0,"12hrs on/12hrs off, 7.3spm",2021-02-26
6,MANTA 1H,24:00,34.18,35.52,30.03,200.0,80.0,,2021-02-26
7,REEF 3H,24:00,26.63,41.86,55.0,200.0,70.0,"6.5spm, 20/50 Hot Oil recovery",2021-02-26
8,RIDGEBACK 1H,24:00,18.38,10.0,3.33,120.0,80.0,7.1spm,2021-02-26
9,SEA WASP 2H,24:00,13.78,35.1,0.0,120.0,80.0,High line pressure Chem treated,2021-02-26
10,STINGRAY 2H,24:00,23.4,11.0,3.34,200.0,100.0,"12hrs on/12hrs off, 6.6spm",2021-02-26
11,THORNY DEVIL 1H,24:00,58.18,110.72,30.83,180.0,100.0,,2021-02-26
12,THORNY DEVIL 2H,24:00,47.32,116.59,20.83,180.0,100.0,,2021-02-26
13,THORNY DEVIL 3H,24:00,17.07,94.26,19.58,180.0,80.0,,2021-02-26
14,WOMBAT 2H,24:00,30.06,37.0,15.0,140.0,90.0,,2021-02-26
0,CROC 1H,24:00,11.64,12.85,7.09,200.0,70.0,"12on/12off, 6.5spm",2021-02-25
1,GALAH 3H,24:00,54.72,50.29,9.58,150.0,80.0,,2021-02-25
2,GOANNA 1H,0:00,0.0,0.0,0.0,50.0,15.0,down hole failure,2021-02-25
3,GREAT WHITE 1H,24:00,72.85,77.26,20.33,125.0,90.0,,2021-02-25
4,GREAT WHITE 2H,24:00,45.0,45.29,18.0,125.0,90.0,,2021-02-25
5,JAVELINA 1H,24:00,21.68,15.35,8.33,130.0,80.0,"12hrs on/12hrs off, 7.3spm",2021-02-25
6,MANTA 1H,24:00,30.68,32.69,23.72,200.0,80.0,,2021-02-25
7,REEF 3H,24:00,37.03,22.39,27.09,200.0,70.0,"6.5spm, 20/50 Hot Oil",2021-02-25
8,RIDGEBACK 1H,24:00,20.05,10.55,0.0,120.0,80.0,,2021-02-25
9,SEA WASP 2H,24:00,9.19,4.0,2.91,120.0,80.0,,2021-02-25
10,STINGRAY 2H,24:00,20.08,5.39,1.66,200.0,100.0,"12hrs on/12hrs off, 6.6spm, Chem Treated(2/25)",2021-02-25
11,THORNY DEVIL 1H,24:00,56.4,119.33,31.25,180.0,100.0,,2021-02-25
12,THORNY DEVIL 2H,24:00,45.68,124.62,30.41,180.0,100.0,,2021-02-25
13,THORNY DEVIL 3H,24:00,33.85,129.63,6.66,180.0,80.0,,2021-02-25
14,WOMBAT 2H,24:00,35.07,41.72,0.0,140.0,90.0,,2021-02-25
0,CROC 1H,24:00,23.29,17.81,16.25,200.0,70.0,"12on/12off, 6.5spm",2021-02-24
1,GALAH 3H,24:00,53.39,45.7,6.67,140.0,80.0,chemical treat,2021-02-24
2,GOANNA 1H,0:00,0.02,0.0,0.0,50.0,15.0,down hole failure,2021-02-24
3,GREAT WHITE 1H,24:00,92.77,85.0,35.0,125.0,90.0,,2021-02-24
4,GREAT WHITE 2H,24:00,56.67,63.0,25.0,125.0,90.0,,2021-02-24
